departure_time_current,departure_time_original,flight_status,delay_minutes,delay_status,destination,flight_number,company,check_in_desk,terminal,boarding_gate,getting_there,date_saved
2025-03-19T00:22:00Z,2025-03-19T00:10:00Z,Ended,12,Late,LIMA (LIM),"IBE0123, FIN5559, LAN1603, BAW7231, QTR6537","Iberia, Finnair, LATAM Airlines, British Airways, Qatar Airways",810 - 829,T4S,S39 - S40,T4S S39 S40,2025-03-19T01:14:00Z
2025-03-19T00:30:00Z,2025-03-19T00:30:00Z,NA,0,On Time,CARACAS (CCS),LER2922,Laser Airlines,NA,T1,B26,T1 B26,2025-03-19T01:14:00Z
2025-03-19T00:35:00Z,2025-03-19T00:35:00Z,Last Call,0,On Time,BOGOTA /EL DORADO (BOG),"AVA047, ETD2606, UAE3811","Avianca, Etihad Airways, Emirates",960 - 969,T4S,S8 - S7,T4S S8 S7,2025-03-19T01:14:00Z
2025-03-19T00:45:00Z,2025-03-19T00:45:00Z,Closed,0,On Time,LIMA (LIM),LPE2485,LATAM Airlines,940 - 949,T4S,S27 - S28,T4S S27 S28,2025-03-19T01:14:00Z
2025-03-19T01:45:00Z,2025-03-19T01:40:00Z,NA,5,On Time,BEIJING / CAPITAL (PEK),CCA898,Air China,319 - 324,T1,B20,T1 B20,2025-03-19T01:14:00Z
2025-03-19T05:45:00Z,2025-03-19T05:45:00Z,NA,0,On Time,LONDRES /STANSTED (STN),RYR2629,Ryanair,356 - 356,T1,B,-,2025-03-19T01:14:00Z
2025-03-19T05:50:00Z,2025-03-19T05:50:00Z,NA,0,On Time,ROMA /FIUMICINO (FCO),"ITY059, AVA6210","ITA Airways, Avianca",401 - 404,T2,E,-,2025-03-19T01:14:00Z
2025-03-19T06:00:00Z,2025-03-19T06:00:00Z,NA,0,On Time,AMSTERDAM /SCHIPHOL (AMS),"KLM1500, CSN7762, CXA9649, KQA1698, GLO5691, SAS6703, DAL9616, ETD7343, GIA9493, CES1846","KLM, -, SAS Scandinavian Airlines, Delta, Etihad Airways, China Eastern",423 - 431,T2,E,-,2025-03-19T01:14:00Z
2025-03-19T06:00:00Z,2025-03-19T06:00:00Z,NA,0,On Time,LANZAROTE CÉSAR MANRIQUE (ACE),RYR2015,Ryanair,356 - 358,T1,C,-,2025-03-19T01:14:00Z
2025-03-19T06:00:00Z,2025-03-19T06:00:00Z,NA,0,On Time,PARIS /CHARLES DE GAULLE (CDG),"AFR1401, MAU9423, KQA3023, HVN3137, GLO5192, DAL8571, CES1712, AEA2225, SAS9852, WJA5183, SIA1881","Air France, -, Delta, China Eastern, Air Europa, SAS Scandinavian Airlines, Westjet Airlines LTD, Singapore Airlines",423 - 431,T2,E,-,2025-03-19T01:14:00Z
2025-03-19T06:10:00Z,2025-03-19T06:10:00Z,NA,0,On Time,CRACOVIA (KRK),RYR5356,Ryanair,356 - 358,T1,C,-,2025-03-19T01:14:00Z
2025-03-19T06:10:00Z,2025-03-19T06:10:00Z,NA,0,On Time,FRANKFURT (FRA),"DLH1121, UAL8982, AUA7456","Lufthansa, United Airlines, Austrian Airlines",415 - 419,T2,E,-,2025-03-19T01:14:00Z
2025-03-19T06:15:00Z,2025-03-19T06:15:00Z,NA,0,On Time,TANGER (TNG),RYR3876,Ryanair,356 - 358,T1,A,-,2025-03-19T01:14:00Z
2025-03-19T06:20:00Z,2025-03-19T06:20:00Z,NA,0,On Time,GRAN CANARIA (LPA),"IBS1601, AVA6085, IBE1601, VLG5403, QTR5076","Iberia Express, Avianca, Iberia, Vueling, Qatar Airways",850 - 859,T4,H,-,2025-03-19T01:14:00Z
2025-03-19T06:20:00Z,2025-03-19T06:20:00Z,NA,0,On Time,TENERIFE NORTE-C. LA LAGUNA (TFN),"IBS1561, AVA6092, QTR5360, VLG5482, IBE1561","Iberia Express, Avianca, Qatar Airways, Vueling, Iberia",850 - 859,T4S,M,-,2025-03-19T01:14:00Z
2025-03-19T06:25:00Z,2025-03-19T06:25:00Z,NA,0,On Time,BRUSELAS (BRU),"BEL3732, UAL9956","Brussels Airlines, United Airlines",415 - 420,T2,D,-,2025-03-19T01:14:00Z
2025-03-19T06:30:00Z,2025-03-19T06:30:00Z,NA,0,On Time,BILBAO (BIO),"AEA7161, KLM3330, AMX6818","Air Europa, KLM, Aeromexico",508 - 532,T2,D,-,2025-03-19T01:14:00Z
